VID,Devicetime,lat(API),long(API),lat(RAW),long(RAW),Posisi
202543,7/15/2021 7:16,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:12,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:58,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:08,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:59,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:41,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:03,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:00,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:01,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:42,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:02,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:03,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:17,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:04,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:15,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:04,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:05,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:06,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:13,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:57,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:10,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:18,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
