VID,"2021-07-26 10:19:50","2021-07-26 10:19:53.404","Api null","Api null","Api null","CPU Reset"
201184,"2021-07-26 10:35:14","2021-07-26 10:35:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:32",Update
201185,"2021-07-26 10:34:46","2021-07-26 10:34:49",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:08",Update
201186,"2021-07-07 15:36:55","2021-07-07 15:36:58.646","Api null","Api null","Api null","Battery Power Low (66,0) (api null)"
201188,"2021-07-26 10:34:31","2021-07-26 10:34:34",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:34:47",Update
201190,"2021-07-26 10:35:39","2021-07-26 10:35:41",null,null,null,"Temp Error (72,3000)"
201191,"2021-07-26 10:35:02","2021-07-26 10:35:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:34",Update
201192,"2021-07-26 10:35:55","2021-07-26 10:35:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:14",Update
201193,"2021-06-03 14:30:07","2021-06-03 14:30:09.59","Api null","Api null","Api null","Battery Power Low (66,4) (api null)"
201194,"2021-07-26 10:35:53","2021-07-26 10:35:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:13",Update
201195,"2021-07-26 10:36:10","2021-07-26 10:36:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:25",Update
201196,"2021-07-26 10:35:53","2021-07-26 10:35:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:14",Update
201197,"2021-07-26 10:36:08","2021-07-26 10:36:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:24",Update
201198,"2021-07-26 10:36:36","2021-07-26 10:36:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:53",Update
201199,"2021-07-26 10:34:00","2021-07-26 10:34:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:34:40",Update
201200,"2021-07-26 10:36:11","2021-07-26 10:36:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:26",Update
201201,"2021-07-26 10:36:43","2021-07-26 10:36:45",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:56",Update
201202,"2021-07-26 10:33:30","2021-07-26 10:33:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:34:15",Update
201204,"2021-07-26 10:36:22","2021-07-26 10:36:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:34",Update
201205,"2021-07-26 10:36:42","2021-07-26 10:36:45",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:54",Update
201206,"2021-07-26 10:36:10","2021-07-26 10:36:14",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:22",Update
201207,"2021-07-26 10:36:43","2021-07-26 10:36:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:57",Update
201208,"2021-07-09 09:54:57","2021-07-09 09:59:14.837","Api null","Api null","Api null","CPU Reset"
201209,"2021-07-26 10:35:56","2021-07-26 10:35:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:13",Update
201210,"2021-06-30 05:22:06","2021-06-30 05:22:09.724","Api null","Api null","Api null","CPU Reset"
201212,"2021-07-26 10:36:21","2021-07-26 10:36:24",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:36",Update
201214,"2021-07-26 10:36:18","2021-07-26 10:36:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:33",Update
201215,"2021-07-26 10:36:20","2021-07-26 10:36:22",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:35",Update
201216,"2021-07-19 08:36:24","2021-07-19 08:36:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 08:36:42","CPU Reset"
201218,"2021-07-26 10:36:41","2021-07-26 10:36:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:54",Update
201219,"2021-07-26 10:37:06","2021-07-26 10:37:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:25",Update
201220,"2021-07-26 10:36:39","2021-07-26 10:36:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:53",Update
201221,"2021-07-26 10:37:09","2021-07-26 10:37:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:30",Update
201222,"2021-07-26 10:34:34","2021-07-26 10:34:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:06",Update
201223,"2021-07-26 10:36:53","2021-07-26 10:36:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:16",Update
201224,"2021-07-26 10:36:25","2021-07-26 10:36:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:44",Update
201225,"2021-07-26 10:37:07","2021-07-26 10:37:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:30",Update
201226,"2021-07-26 10:37:03","2021-07-26 10:37:06",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:28",Update
201228,"2021-07-06 17:16:11","2021-07-06 17:16:32.141","Api null","Api null","Api null","Battery Power Low (66,0) (api null)"
201229,"2021-07-26 10:36:45","2021-07-26 10:36:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:55",Update
201230,"2021-07-26 10:36:58","2021-07-26 10:37:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:18",Update
201231,"2021-07-26 10:36:33","2021-07-26 10:36:35",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:36:44",Update
201232,"2021-07-02 06:48:15","2021-07-02 12:04:00.171","Api null","Api null","Api null","Battery Power Low (66,4474) (api null)"
