"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202465,B-9396-CXS,3,1356,0.22%
202466,B-9387-CXS,4,1366,0.29%
202467,B-9458-CXS,80,1372,5.83%
202468,B-9199-CXR,4,1358,0.29%
202469,B-9432-CXS,2,1344,0.15%
202471,B-9428-CXS,370,1336,27.69%
202472,B-9431-CXS,0,0,0%
202473,B-9441-CXS,3,1337,0.22%
202474,B-9393-CXS,0,1371,0%
202475,B-9447-CXS,1,1386,0.07%
202476,B-9389-CXS,543,1348,40.28%
202477,B-9391-CXS,97,1368,7.09%
202478,B-9442-CXS,0,301,0%
202479,B-9456-CXS,30,1325,2.26%
202481,B-9429-CXS,4,1334,0.3%
202482,B-9427-CXS,1335,1335,100%
202483,B-9434-CXS,45,1347,3.34%
202484,B-9425-CXS,0,1335,0%
202486,B-9436-CXS,5,1359,0.37%
202487,B-9423-CXS,2,1364,0.15%
202488,B-9430-CXS,7,1352,0.52%
202489,B-9667-CXR,2,1347,0.15%
202490,B-9448-CXR,563,1346,41.83%
202491,B-9453-CXS,2,1341,0.15%
202492,B-9450-CXS,1,1365,0.07%
202493,B-9437-CXS,848,1352,62.72%
202494,B-9444-CXS,0,1353,0%
202495,B-9452-CXS,27,1362,1.98%
202496,B-9308-CXS,1,1335,0.07%
202497,B-9451-CXS,2,1349,0.15%
202498,B-9295-CXS,0,1355,0%
202499,B-9455-CXS,2,1360,0.15%
202501,B-9302-CXS,2,1353,0.15%
202503,B-9454-CXS,150,1347,11.14%
202504,B-9139-CXR,2,1340,0.15%
202505,B-9517-CXS,110,1354,8.12%
202506,B-9518-CXS,2,1365,0.15%
202507,B-9608-CXS,3,1351,0.22%
202508,B-9597-CXS,12,1350,0.89%
202509,B-9553-CXS,0,1335,0%
202510,B-9540-CXS,4,1371,0.29%
202511,B-9554-CXS,7,1343,0.52%
202512,B-9588-CXS,6,1300,0.46%
202513,B-9551-CXS,1,1352,0.07%
202514,B-9550-CXS,2,1367,0.15%
202515,B-9607-CXS,2,1342,0.15%
202516,B-9612-CXS,2,1352,0.15%
202517,B-9541-CXS,66,1337,4.94%
202518,B-9603-CXS,3,1334,0.22%
202519,B-9601-CXS,184,1365,13.48%
202520,B-9535-CXS,0,1348,0%
202521,B-9530-CXS,10,1342,0.75%
202522,B-9589-CXS,664,1357,48.93%
202523,B-9532-CXS,236,1365,17.29%
202524,B-9552-CXS,280,1358,20.62%
202525,B-9563-CXS,1,1353,0.07%
202526,B-9558-CXS,70,1351,5.18%
202527,B-9557-CXS,8,1359,0.59%
202528,B-9610-CXS,64,1344,4.76%
202529,B-9634-CXS,0,1386,0%
202530,B-9633-CXS,0,1366,0%
202531,B-9614-CXS,12,1357,0.88%
202532,B-9594-CXS,69,1378,5.01%
202533,B-9433-CXS,72,1369,5.26%
202534,B-9622-CXS,0,1358,0%
202535,B-9632-CXS,49,1364,3.59%
202536,B-9613-CXS,2,1351,0.15%
202537,B-9598-CXS,15,1346,1.11%
202538,B-9617-CXS,12,1351,0.89%
202539,B-9624-CXS,0,1352,0%
202540,B-9615-CXS,0,1357,0%
202541,B-9600-CXS,0,1340,0%
202542,B-9591-CXS,7,1347,0.52%
202543,B-9605-CXS,0,1363,0%
